username,acctdesc,location,following,followers,totaltweets,timestamp,retweetcount,favcount,text
BananaAssistant,,,683,3922,18049,21/10/12 3:00,192,1225,"Hong Kong’s #Halloween night.
Police say they have every right to take off anyone’s face covering out there.
#TearGasAndBloodshed
#HongkongProtests https://t.co/u6M1L2fn9d"
Alice167167,"A Project Manager who likes managing her own husband. LOL | #Hongkongers will never give up for DEMOCRACY | #手足互科 | 願公平如大水滾滾, 公義如滔滔江河. 阿摩司書Amos 5:24",兄弟爬山,528,428,1234,16/10/19 1:30,0,806,@statedeptspox Do Hong Kong people have say in front of the Communist China and the riot HK Police? What we ask for is democracy and autonomy which has been promised in the joint declaration. #StandWithHongKong #FightForFreedom #BoycottChina https://t.co/apj4iP7oCC
raystandwithhk,a Hongkonger,Hong Kong,34,33,1741,19/9/19 22:45,293,816,"It turns out the Electoral Officer Laura Aron who disqualified @joshuawongcf is actually a lawbreaker herself.

She constructed illegal structures on top of her house.

Absurdity in #HongKong just reached new heights: lawbreakers enforce law shamelessly. https://t.co/X2VmMF7ZnE"
KutvonenPasi,,,138,9,326,15/8/19 16:57,2,513,"Angry people across the globe are rising up...for different reasons. After protests in Britain, France, Bolivia, Russia, Ukraine, Egypt, Iraq &amp; Ecuador, @Polly_Boiko takes a look at protests in #Chile, #Lebanon, #Barcelona and #HongKong @ICYMIvideo 

 https://t.co/gUhrL9iT4X"
whsun,#StandWithHongKong,,65,34,27,3/7/09 11:06,18,86,"Police arrest a woman who shouts ""I'm American,"" ""Halloween"" in Lan Kwai Fong during #HongKong #Halloween night https://t.co/ZJxVzxyY4K"
WingedLionPC,#手足科勞 #Standwithhongkong #願榮光歸香港,Hong Kong,567,417,1243,20/1/10 4:12,0,1436,"@cnni This tyranny should fall!
#chinazi #hongkong #HongKongPoliceState #HKPoliceState https://t.co/4WExIkdO32"
MancwithHK,We are a group of Hong Kong Mancunians who support pro-democracy protests in Hong Kong 🇭🇰🇬🇧🐝,Greater Manchester,16,2,21,17/10/19 16:54,8345,11,Today I’m introducing new legislation to impose Global Magnitsky sanctions on Beijing officials &amp; their collaborators who seek to repress Hong Kong. The situation there is urgent. Proud to be joined by @SenRickScott &amp; @JohnCornyn #StandWithHongKong https://t.co/Owa6mMcjak
kendy1111,,,105,17,274,17/1/10 13:00,347,322,Thank you @PrivateEyeNews for reporting this. The @GOVUK is talking out of both sides of its mouth. We must stop selling tear gas and other “strategic exports” to SAR. They are being used to suppress the cry of #HongKong for freedom and dignity. https://t.co/GEIRKxEFZK
fai13339824,"HongKonger, IT dog",Hong Kong,27,69,9272,19/8/19 23:47,20,2486,"@SolomonYue Many thanks for the support &amp; contribution of both #HongKongHumanRightsAndDemocracyAct &amp; #HongKongBeWaterAct. I saw that a lot of posts show that people are exhausted, but the confront will be a long-lasting fight 💪😷 #StandWithHongKong"
martinyau11,Martin yau,,1,2,134,27/8/19 14:49,12,34,"@HawleyMO @SenRickScott @JohnCornyn Yes. We are under the deep suppression on freedom and rights. #HongKong is a police state now, as #CCP #China, #HKGovt and #HKPolice don’t follow the “One country, two system”. #HKPoliceBrutality #StandwithHK #BoycottChina https://t.co/QaqqJ0PkKL"
WaffPan,HGYGY GFHKSDGM,,697,279,2044,2/9/09 11:49,163,1382,"Oct 31 Mong Kok, #HongKong. Who suffered from indiscriminating tear gas shots from #HongKongPolice? Child, passerby, elderly. Who’s there to help them? Volunteer first-aider and black-clad young folks whom cops enjoy beating the shit up. #FreeHongKong

Video fm White Night Media https://t.co/GHSlcj7cxS"
Jackson06280428,"A HongKonger fights for freedom.
HK protest timeline: https://t.co/vdpO29M2PI
光復香港 時代革命
#antiEL #StandwithHK #HongKongProtest #antichinazi #followbackhongkong",,1003,547,4279,15/8/19 23:10,3,3667,@BBCWorld #HongKong is in #HKPoliceState. #HKPolice arrested people indiscriminately. They pointed gun at people’s head in ready-to-shoot state. #PressFreedom is repressed. Injunction bans internet access of lihkg &amp; @telegram. Celebrating festival is a crime. Pls #StandwithHK #FreedomHK https://t.co/KvebZKehKz
lovelyjoannawin,#live to shine,,217,72,7204,3/5/09 0:59,641,5020,"【112 Global Rallies】

On 2 November (Sat), global rallies will be held in over 48 cities in 17 countries in support of autonomy for Hong Kong, as promised in the Sino-British Joint Declaration.

#FightforAutonomy #StandWithHK 
#HongKongSOS #112

https://t.co/sKRYn00GBE https://t.co/WVCEdwwSyy"
SimonYip15,"Just an ordinary citizen in HK who still knows what is right or wrong 
咀咒警察暴行及和黑社會合作的警察, 永不原諒 .公義要申張
唔幫襯藍店, 只吃買黃店 (唔買大陸嘢)
#StandWithHongKong",,968,243,3803,28/9/19 17:14,0,2526,"@ThePeopleHK that is why in #HongKongProtests , the #HongKongProtesters are peaceful while the #HKPolice are insane."
taraterror5,I’m a creature that hails from the backwater planet called Earth. into drawing; notably erotica. @ravenliamfox is bae and whose podcast I go on.,On my ass,917,142,4338,22/11/17 19:52,0,49012,"@Warcraft I’m super ready.
#FreeHongKong 
#HKprotests https://t.co/6XevajUz7x"
bam93948356,Fight for freedom.,,157,41,814,31/8/19 16:07,2047,1070,"Just now in Tuen Mun, the riot police pull the owners out from the restaurant and arrest them! 
Before these, the riot police walk by and want to arrest the youngsters inside the restaurant with no reasons and the shop owner refuse to do so. #HKPoliceTerrorism #HKPoliceState https://t.co/GTouHyEJ4B"
BangPitung_AJW,...dulunya pernah jualan Kerak Telor Betawi.,Jakarta Capital Region,4468,6119,115369,5/8/16 2:56,17,4316,"112 Emergency Call for #HongKong #autonomy 
Global rallies will be held in over 48 cities in 17 countries 
Source: https://t.co/Xmip2LzqMa https://t.co/SKhWznXcXG"
HKhamsterfan,"A #Hongkonger, #Hongkongese speaker, and a slave of 2 hamsters.
Please #StandWithHongKong and #FightForFreedom against #Chinazi's tyranny.
#followbackhongkong",Hong Kong,845,1259,1291,29/9/14 19:16,0,570,From conflict armament research: the main supplier of ISIS weapon is from China. This is the reason why the world should act to publish CCP. #antichinazi #BoycottChina https://t.co/L0EBXnFqo7
SandyMa97867508,Free Hong Kong,,8,0,15,5/9/19 1:05,0,11,@HawleyMO @SenRickScott @JohnCornyn This is Hong Kong people daily life! Urgent! #StandWithHongKong https://t.co/4IlGCvMikN
CallofDutyNow00,出来呼吸口新鲜空气吧,共和的国,706,2226,20860,12/2/09 13:19,244,21429,"Yesterday's tear gas.
 There is fire but no smoke.

 Is it a defective product made in China?
 If it is thrown into the room, garbage or a plant, it can cause a fire.

 #HKprotests #teargas https://t.co/dsZ1KbyOyl https://t.co/MY6lqhZ1Dt"
Freedom29003758,,,535,147,727,30/10/19 0:34,116,720,"Dozens of local residents stood in protest in Tsuen Wan on Friday evening - despite heavy riot police presence - to mark one month since an officer shot an 18-year-old with live ammunition in the chest at point blank range.

Photo: Stand News. #hongkong #hongkongprotests https://t.co/9xbJZXAB2B"
ChadYong,"🇺🇸LA 213 ➡️ HK 852🇭🇰
Blockchain Enthusiast and 
Private Investor",Hong Kong,278,45,325,13/3/15 23:19,2401,897,"#Hongkong police claim:
- Rioters disguising as journalists, so journalists could be disguised rioters
- I order you to take off your protective mask or else
- Press exemption? Get it in court   
Never knew I could get this ANGRY
#PoliceBrutalityVsFreePress
#HongkongProtests https://t.co/FcBP73Q5f3"
jo_joycf,"An ordinary Hong Kong Citizen
#HongKonger
#Fightforfreedom
#StandwithHongKong
#followbackhongkong",香港,549,335,499,30/8/19 5:43,347,295,Thank you @PrivateEyeNews for reporting this. The @GOVUK is talking out of both sides of its mouth. We must stop selling tear gas and other “strategic exports” to SAR. They are being used to suppress the cry of #HongKong for freedom and dignity. https://t.co/GEIRKxEFZK
fxxkchicrybaby,Vivre en paix. Se battre pour la liberté.,,359,113,1039,28/9/19 5:15,347,1649,Thank you @PrivateEyeNews for reporting this. The @GOVUK is talking out of both sides of its mouth. We must stop selling tear gas and other “strategic exports” to SAR. They are being used to suppress the cry of #HongKong for freedom and dignity. https://t.co/GEIRKxEFZK
AimeeNg2,,Hong Kong,61,6,62,13/5/18 11:37,0,6,#HongKongPolice #HongKongProtests  hkpolice wanna to shoot that girl 😨 https://t.co/pyR0iYGg04
AramonRodor,,火星,180,9,123,1/4/15 3:28,640,455,"Last night, a woman is being dragged on the ground, while  #HongKongPolice pointed her with a gun.

I don't want to use such word but it's a hunt.

I wonder how long it takes to be another #ConcentrationCamps beside #Xinjiang.

#HumanRights #StandWithHongKong #China70yearsOfShame https://t.co/gTF1WHHS0l"
Freedomchina6,,,177,82,8868,6/3/19 18:31,35,6598,"831 incident, never forget, never forgive.

#hkprotests
#standwithhongkong
#831incident https://t.co/uMkup7ZKBn"
hs_skeleton,,"West Borneo, Indonesia",234,22,327,27/12/09 19:15,0,1314,"#hongkong #HKPoliceBrutality
 sexually #abuse #protesters in public #StandWithHongKong
#5DemandsNot1Less
#HumanRightsViolations
#HumanRightsViolations

https://t.co/3VaDHZLVa7"
Tee168,"One of a Kind 💋 Joined in 2009 but never used it until @realDonaldTrump and Q! Love President DJT, from Hong Kong 💖 #TropicalElf",Hong Kong,2589,2124,61164,2/7/09 4:48,163,92451,"Oct 31 Mong Kok, #HongKong. Who suffered from indiscriminating tear gas shots from #HongKongPolice? Child, passerby, elderly. Who’s there to help them? Volunteer first-aider and black-clad young folks whom cops enjoy beating the shit up. #FreeHongKong

Video fm White Night Media https://t.co/GHSlcj7cxS"
fxxkchicrybaby,Vivre en paix. Se battre pour la liberté.,,359,113,1039,28/9/19 5:15,0,1649,#CCP ‘s brainstorming is coming for #HongKong ‘s youngsters. https://t.co/DTZ6lJfoWi
Dharmocracy,,,446,972,6117,17/9/14 6:16,105,16863,"#HongKongPolice pointing a shotgun at the head of a Hong Kong citizen.

#HongKong netizens are all backing up this photo which was allegedly censored by Facebook as requested by #HongKongPolice.

Let me do the same, please save a copy to your computer if you haven't done so. https://t.co/XqkKz2Jo13"
P509807Tony,"HKUST student.
#5DemandsNot1Less 
五大訴求，缺一不可!
在艱彌厲，戰鬥到底!

希望在於人民，改變始於抗爭。",香港，清水灣，香港科技大學,545,302,13334,20/10/15 16:19,117,10409,"1 Oct 2019 — #HongKongPolice fired live ammo #bullet right at the chest of a 18-yr-old student, Tsang Chi Kin. The bullet is just #3cm next to his Heart.

#HongKongers will NEVER forget.
We will NEVER forgive.

#殺子政權 #天滅中共
#ResistBeijing #LiberateHongKong 
#HongKong https://t.co/gc4faBPAVJ"
qwertyuiioasdg,,United States Minor Outlying Islands,172,530,185455,13/7/17 1:23,59,4530,"#HongKong has been dealt its first ruling that #Censors the internet after a court order was issued banning certain online messages.

The move comes just as the city braces for more weekend #HongKongProtests. https://t.co/2Fsrc1TwSU"
wonw080,we want justice and freedom,,156,150,8510,16/9/19 13:55,3,149,@FreeHK20290213 #HongKongPolice is like ISIS now #PoliceState #SOSHK #HKPoliceTerrorism https://t.co/QCmQQn05Ra
martinyau11,Martin yau,,1,2,134,27/8/19 14:49,8346,34,Today I’m introducing new legislation to impose Global Magnitsky sanctions on Beijing officials &amp; their collaborators who seek to repress Hong Kong. The situation there is urgent. Proud to be joined by @SenRickScott &amp; @JohnCornyn #StandWithHongKong https://t.co/Owa6mMcjak
ikfgijg111,Hong Kong lover|Engineer|Democracy lover,,188,128,1268,23/2/15 20:52,238,2787,"In a Friday press conference, a #HongKong social worker complained that after being repeatedly beaten on the head by police in Mong Kok on Thursday night - without being arrested - officers gathered around to taunt him asking if he had ""bumped into something"".

#HongKongprotests https://t.co/F0Xwmn7VWu"
BarbaraMBennet1,,,126,78,2694,1/8/18 12:34,5903,26278,This is disgusting. Where is the accountability? #StandwithHK #HongKong https://t.co/KDkf6tba1p
qwertyuiioasdg,,United States Minor Outlying Islands,172,530,185455,13/7/17 1:23,29,4530,"Meanwhile, a “singing” protest for human rights and democracy at Tsim Sha Tsui’s Park Lane on Saturday from 4pm onwards has also been approved by police.

#hongkong https://t.co/AdfPwSSFuz"
wonw080,we want justice and freedom,,156,150,8510,16/9/19 13:55,135,149,"2019 Halloween: 
HK police point the GUN to arrested woman, just like EXECUTION,
In Central Lan Kwai Fong!

Can you tolerate that?
#hkpolicestate
#hkpoliceterroism
#hkpolicebrutality
#FreeHongKong
#FreedomHK
#FightForFreedom
#StandWithHongKong
#HappyHalloween https://t.co/GHyeZGVBgQ"
DingNovo,Love and Peace can heal,,43,47,1603,21/9/19 11:28,442,1976,"Police Officers desecrate the memorial hall set up for the deceased and victims of police brutality next to Prince Edward Station.

#831PrinceEdward #StandWithHongKong #FightForFreedom https://t.co/7qRVrv9VRg"
kinji905,"I'm an interor designer, come from Hong Kong.🇭🇰🇺🇸🇬🇧🇯🇵",Hong Kong,83,23,113,9/9/19 17:31,786,76,"Some believed #HongKong police won’t fire tear gas in #Central.
Consider there’re classy people live there?
They’ve already gone haywired, there’s only “me or them” in their twisted mind. 

#TearGasBuffet in #PoliceState 

https://t.co/9FD6peYpKc"
Jerrykwokwl,,,358,25,4449,11/2/17 17:25,548,562,"Senator Hawley: ""We are in for a long struggle with China to defend our economy and our people. We’ve surrendered too much ground already. Now is the time to take a stand, by standing with Hong Kong."" #StandWithHongKong"
jokan54321,You can't keep me quiet,Hong Kong,1410,831,187,3/9/19 16:20,163,316,"Oct 31 Mong Kok, #HongKong. Who suffered from indiscriminating tear gas shots from #HongKongPolice? Child, passerby, elderly. Who’s there to help them? Volunteer first-aider and black-clad young folks whom cops enjoy beating the shit up. #FreeHongKong

Video fm White Night Media https://t.co/GHSlcj7cxS"
s996181,,,137,6,278,24/2/13 12:20,1461,209,"#Police Officers desecrate the memorial hall set up for the deceased and victims of #policebrutality next to #PrinceEdward Station
Source - https://t.co/zT5Wdhfopy
#PoliceState #StandWithHongKong #FreeHongKong #HongKongRioters https://t.co/CcCpdogPZN"
AC09924736,"香港人加油! 香港人反抗! 😷
Twitter文宣新手，請多多指教
#FollowBackHK",,196,197,3679,14/9/19 16:10,4,2031,"#AntiChinazi
Pro-#CCP Parties plan to introduce 15k new immigrants to #HongKong per year.
Source: MingPao

I wonder if the CCP want to kill 15k #HK citizens per year who are opposing them, so they need to get 15k new population to cover it?
#AntiTotalitarianism #AntiCCP https://t.co/BCfIoQhVz3"
HK_Lin_Fa,Born in HK. Live in HK. Stand with HK. I am HongKonger. apologies for my limited English/Konglish. 🙇🏻‍♀️ #科勞手足,,729,323,713,5/9/19 11:37,0,1787,@SolomonYue @HkpoB @HawleyMO @SenRickScott @SecPompeo @hkpoliceforce Thank you NCM Yue. Please let us know her status. We worry about all people who arrested by #HKPoliceTerrorism.
qwertyuiioasdg,,United States Minor Outlying Islands,172,530,185455,13/7/17 1:23,57,4530,"#HongKong flash mob: ""Do You Hear the People Sing"" on Mong Kok street https://t.co/Nx1Dk854QW"
Al82754998,"Hong Konger, Canadian, World citizen. I’m an optimist, tweeting all things HK with a touch of humour n pop culture #followbackhongkong #科勞手足 #BoycottBeijing2022",,771,584,862,31/8/19 1:24,640,404,"Last night, a woman is being dragged on the ground, while  #HongKongPolice pointed her with a gun.

I don't want to use such word but it's a hunt.

I wonder how long it takes to be another #ConcentrationCamps beside #Xinjiang.

#HumanRights #StandWithHongKong #China70yearsOfShame https://t.co/gTF1WHHS0l"
Moona32221525,I am not Chinese. Please do not force me to love China!,,220,108,1920,16/7/19 17:57,238,2940,"In a Friday press conference, a #HongKong social worker complained that after being repeatedly beaten on the head by police in Mong Kok on Thursday night - without being arrested - officers gathered around to taunt him asking if he had ""bumped into something"".

#HongKongprotests https://t.co/F0Xwmn7VWu"
wing26543490,#Hongkonger #科勞手足 #fightforfreedom #standwithhk #5demands #notoneless #followbackhk #followbackhongkong,Hong Kong,74,40,315,14/9/19 14:21,163,376,"Oct 31 Mong Kok, #HongKong. Who suffered from indiscriminating tear gas shots from #HongKongPolice? Child, passerby, elderly. Who’s there to help them? Volunteer first-aider and black-clad young folks whom cops enjoy beating the shit up. #FreeHongKong

Video fm White Night Media https://t.co/GHSlcj7cxS"
Jackson06280428,"A HongKonger fights for freedom.
HK protest timeline: https://t.co/vdpO29M2PI
光復香港 時代革命
#antiEL #StandwithHK #HongKongProtest #antichinazi #followbackhongkong",,1004,547,4280,15/8/19 23:10,479,3667,"We #StudentUnions will co-organize the “Emergency Call For Hong Kong Autonomy” rally at #VictoriasPark on #2ndNov w/ @Stand_with_HK &amp; several others. While overseas #Hongkongers echoe globally.

We need you in writing the #1million history, see you #2ndNov.🇭🇰

#StandWithHK https://t.co/zUmunYG52E"
viriginia0820,,,2,0,288,12/12/16 14:58,8346,66,Today I’m introducing new legislation to impose Global Magnitsky sanctions on Beijing officials &amp; their collaborators who seek to repress Hong Kong. The situation there is urgent. Proud to be joined by @SenRickScott &amp; @JohnCornyn #StandWithHongKong https://t.co/Owa6mMcjak
leigheavens,U may say I’m a dreamer but I’m not the only one #StandWithHK➡️https://t.co/WzqqzGYkAB➡️https://t.co/HC92VkfSYW➡️https://t.co/dE8aAO4ck8⬇️➡️https://t.co/bL6SaD2a5w,,981,596,3784,17/8/19 4:18,152,4416,The revolution is all around us: This running group of dozens is chanting #FightForFreedom #StandWithHongKong while passing Central Ferry Piers on their way to Wan Chai from Zhongshan Park. On a Friday night in #HK. #香港人反抗 https://t.co/VxdnQEdVPx
Venus75829675,,,45,3,125,26/9/19 2:49,347,133,Thank you @PrivateEyeNews for reporting this. The @GOVUK is talking out of both sides of its mouth. We must stop selling tear gas and other “strategic exports” to SAR. They are being used to suppress the cry of #HongKong for freedom and dignity. https://t.co/GEIRKxEFZK
tc20194,"EXO-L, ONCE~ Liberate 🇭🇰! Fight for Freedom! #StandwithHongKong #FollowbackHongKong #科勞手足",,546,364,5761,28/9/19 2:14,555,8685,"Meet Joy — a #Lawyer, a Blind #HongKongProtester &amp; a Social Activist. 

Physical #Disability does NOT stop her from pursuing #JUSTICE! Real #hero in #HongKong 🇭🇰

#HongKongProtest #香港デモ #LiberateHongKong #law #RuleOfLaw 
https://t.co/YI6MNRuGeo"
iamanya5,,,285,72,1450,25/5/19 5:36,66,528,"As a gaming know-nothing, I'm unable to judge how big #BoycottBlizzard is in the industry. This former NYT gaming reporter says it's the most important development since Gamergate 5yrs ago. BlizzCon starts today. #FightForFreedom #StandWithHongKong https://t.co/YaCcJb8qgF"
